"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that submenu items under different menu categories are displayed and clickable.","1710","Test Nested Menu Navigation","","Tue Sep 24 23:13:01 GST 2024","passed","Tue Sep 24 23:13:03 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1931","Test Footer Links","","Tue Sep 24 23:13:48 GST 2024","passed","Tue Sep 24 23:13:50 GST 2024","","UI Tests","",""
"Verifies that submenu items under different menu categories are displayed and clickable.","1422","Test Nested Menu Navigation","","Tue Sep 24 23:13:03 GST 2024","passed","Tue Sep 24 23:13:04 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","2238","Test Footer Links","","Tue Sep 24 23:13:35 GST 2024","passed","Tue Sep 24 23:13:37 GST 2024","","UI Tests","",""
"Verifies that searching for a product returns relevant results.","1431","Test Product Search","","Tue Sep 24 23:13:13 GST 2024","passed","Tue Sep 24 23:13:15 GST 2024","","UI Tests","",""
"Verifies that submenu items under different menu categories are displayed and clickable.","1443","Test Nested Menu Navigation","","Tue Sep 24 23:12:59 GST 2024","passed","Tue Sep 24 23:13:01 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","2222","Test Footer Links","","Tue Sep 24 23:13:37 GST 2024","passed","Tue Sep 24 23:13:39 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1834","Test Footer Links","","Tue Sep 24 23:13:42 GST 2024","passed","Tue Sep 24 23:13:44 GST 2024","","UI Tests","",""
"Verifies that submenu items under different menu categories are displayed and clickable.","1474","Test Nested Menu Navigation","","Tue Sep 24 23:13:06 GST 2024","passed","Tue Sep 24 23:13:07 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1413","Test Footer Links","","Tue Sep 24 23:13:28 GST 2024","passed","Tue Sep 24 23:13:29 GST 2024","","UI Tests","",""
"Verifies that the homepage slider functions correctly, allowing navigation between images.","2185","Test Slider Functionality","","Tue Sep 24 23:13:18 GST 2024","passed","Tue Sep 24 23:13:20 GST 2024","","UI Tests","",""
"Verifies that submenu items under different menu categories are displayed and clickable.","1392","Test Nested Menu Navigation","","Tue Sep 24 23:13:12 GST 2024","passed","Tue Sep 24 23:13:13 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1405","Test Footer Links","","Tue Sep 24 23:13:45 GST 2024","passed","Tue Sep 24 23:13:47 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1454","Test Footer Links","","Tue Sep 24 23:13:41 GST 2024","passed","Tue Sep 24 23:13:42 GST 2024","","UI Tests","",""
"Verifies that submenu items under different menu categories are displayed and clickable.","1325","Test Nested Menu Navigation","","Tue Sep 24 23:13:09 GST 2024","passed","Tue Sep 24 23:13:11 GST 2024","","UI Tests","",""
"Verifies that submenu items under different menu categories are displayed and clickable.","1375","Test Nested Menu Navigation","","Tue Sep 24 23:13:04 GST 2024","passed","Tue Sep 24 23:13:05 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1410","Test Footer Links","","Tue Sep 24 23:13:47 GST 2024","passed","Tue Sep 24 23:13:48 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1665","Test Footer Links","","Tue Sep 24 23:13:33 GST 2024","passed","Tue Sep 24 23:13:35 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1840","Test Footer Links","","Tue Sep 24 23:13:26 GST 2024","passed","Tue Sep 24 23:13:28 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1354","Test Footer Links","","Tue Sep 24 23:13:39 GST 2024","passed","Tue Sep 24 23:13:41 GST 2024","","UI Tests","",""
"Verifies that all footer links navigate to the correct page and display the expected heading.","1355","Test Footer Links","","Tue Sep 24 23:13:50 GST 2024","passed","Tue Sep 24 23:13:52 GST 2024","","UI Tests","",""
